feature,split,gain,gain_pct
received_principal,8140,442117.261274457,37.46586088074817
interest_received_ratio,6914,268705.2064999342,22.770592253374367
industry,1226,140634.73165488243,11.917655682554976
total_payement,5845,129490.19538378716,10.973246400027307
interest_received,3896,88885.04400712252,7.532288342577833
work_experience,552,46334.45759558678,3.9264704057404627
tier_of_employment,1905,29678.154920578003,2.514983514207133
total_income,2541,22366.544779896736,1.895383710400834
employment_type,352,3008.6909807920456,0.2549622183820151
dependents,453,1711.2506099939346,0.14501464408178333
role,360,1664.436401128769,0.14104751863744158
delinq_2yrs,256,1490.211351275444,0.12628335525479104
home_type,321,1446.296591758728,0.12256193468432518
has_social_profile,233,926.252249121666,0.0784923841381747
married,262,925.9110708236694,0.07846347203777079
is_verified,195,669.0111608505249,0.056693283152619844
total_payement_per_loan,0,0.0,0.0
number_of_loans,0,0.0,0.0
delinq_2yrs_ratio,0,0.0,0.0
